Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
21;;139;2.78E-02;8.40E-01;3.36E-02;;
22;;140;2.80E-02;8.80E-01;3.52E-02;;
22;;141;2.82E-02;8.80E-01;3.52E-02;;
22;;142;2.84E-02;8.80E-01;3.52E-02;;
23;;143;2.86E-02;9.20E-01;3.68E-02;;
22;;144;2.88E-02;8.80E-01;3.52E-02;;
23;;145;2.90E-02;9.20E-01;3.68E-02;;
23;;146;2.92E-02;9.20E-01;3.68E-02;;
22;;147;2.94E-02;8.80E-01;3.52E-02;;
22;;148;2.96E-02;8.80E-01;3.52E-02;;
22;;149;2.98E-02;8.80E-01;3.52E-02;;
23;;150;3.00E-02;9.20E-01;3.68E-02;;
23;;151;3.02E-02;9.20E-01;3.68E-02;;
23;;152;3.04E-02;9.20E-01;3.68E-02;;
23;;153;3.06E-02;9.20E-01;3.68E-02;;
22;;154;3.08E-02;8.80E-01;3.52E-02;;
23;;155;3.10E-02;9.20E-01;3.68E-02;;
23;;156;3.12E-02;9.20E-01;3.68E-02;;
22;;157;3.14E-02;8.80E-01;3.52E-02;;
23;;158;3.16E-02;9.20E-01;3.68E-02;;
23;;159;3.18E-02;9.20E-01;3.68E-02;;
23;;160;3.20E-02;9.20E-01;3.68E-02;;
23;;161;3.22E-02;9.20E-01;3.68E-02;;
23;;162;3.24E-02;9.20E-01;3.68E-02;;
23;;163;3.26E-02;9.20E-01;3.68E-02;;
23;;164;3.28E-02;9.20E-01;3.68E-02;;
23;;165;3.30E-02;9.20E-01;3.68E-02;;
23;;166;3.32E-02;9.20E-01;3.68E-02;;
24;;167;3.34E-02;9.60E-01;3.84E-02;;
23;;168;3.36E-02;9.20E-01;3.68E-02;;
23;;169;3.38E-02;9.20E-01;3.68E-02;;
24;;170;3.40E-02;9.60E-01;3.84E-02;;
23;;171;3.42E-02;9.20E-01;3.68E-02;;
23;;172;3.44E-02;9.20E-01;3.68E-02;;
24;;173;3.46E-02;9.60E-01;3.84E-02;;
24;;174;3.48E-02;9.60E-01;3.84E-02;;
24;;175;3.50E-02;9.60E-01;3.84E-02;;
23;;176;3.52E-02;9.20E-01;3.68E-02;;
23;;177;3.54E-02;9.20E-01;3.68E-02;;
24;;178;3.56E-02;9.60E-01;3.84E-02;;
24;;179;3.58E-02;9.60E-01;3.84E-02;;
24;;180;3.60E-02;9.60E-01;3.84E-02;;
24;;181;3.62E-02;9.60E-01;3.84E-02;;
24;;182;3.64E-02;9.60E-01;3.84E-02;;
24;;183;3.66E-02;9.60E-01;3.84E-02;;
24;;184;3.68E-02;9.60E-01;3.84E-02;;
24;;185;3.70E-02;9.60E-01;3.84E-02;;
24;;186;3.72E-02;9.60E-01;3.84E-02;;
24;;187;3.74E-02;9.60E-01;3.84E-02;;
25;;188;3.76E-02;1.00E+00;4.00E-02;;
24;;189;3.78E-02;9.60E-01;3.84E-02;;
24;;190;3.80E-02;9.60E-01;3.84E-02;;
24;;191;3.82E-02;9.60E-01;3.84E-02;;
24;;192;3.84E-02;9.60E-01;3.84E-02;;
24;;193;3.86E-02;9.60E-01;3.84E-02;;
24;;194;3.88E-02;9.60E-01;3.84E-02;;
24;;195;3.90E-02;9.60E-01;3.84E-02;;
24;;196;3.92E-02;9.60E-01;3.84E-02;;
24;;197;3.94E-02;9.60E-01;3.84E-02;;
24;;198;3.96E-02;9.60E-01;3.84E-02;;
25;;199;3.98E-02;1.00E+00;4.00E-02;;
25;;200;4.00E-02;1.00E+00;4.00E-02;;
25;;201;4.02E-02;1.00E+00;4.00E-02;;
25;;202;4.04E-02;1.00E+00;4.00E-02;;
25;;203;4.06E-02;1.00E+00;4.00E-02;;
24;;204;4.08E-02;9.60E-01;3.84E-02;;
25;;205;4.10E-02;1.00E+00;4.00E-02;;
24;;206;4.12E-02;9.60E-01;3.84E-02;;
24;;207;4.14E-02;9.60E-01;3.84E-02;;
25;;208;4.16E-02;1.00E+00;4.00E-02;;
25;;209;4.18E-02;1.00E+00;4.00E-02;;
25;;210;4.20E-02;1.00E+00;4.00E-02;;
25;;211;4.22E-02;1.00E+00;4.00E-02;;
24;;212;4.24E-02;9.60E-01;3.84E-02;;
25;;213;4.26E-02;1.00E+00;4.00E-02;;
25;;214;4.28E-02;1.00E+00;4.00E-02;;
25;;215;4.30E-02;1.00E+00;4.00E-02;;
25;;216;4.32E-02;1.00E+00;4.00E-02;;
25;;217;4.34E-02;1.00E+00;4.00E-02;;
25;;218;4.36E-02;1.00E+00;4.00E-02;;
